ngay,san_pham,khu_vuc,so_luong,don_gia,doanh_thu
2023-01-12,Đường,Gia Lai,52.0,214113.0,11133876.0
2023-05-08,Muối,Phú Yên,34.0,273928.0,9313552.0
2023-11-27,Muối,Đắk Lắk,50.0,116672.0,5833600.0
2024-01-01,Cà phê,Phú Yên,49.0,20268.0,993132.0
2024-01-18,Gùi mây,Phú Yên,102.0,42465.0,4331430.0
2023-10-22,Mật ong rừng,Gia Lai,20.0,349817.0,6996340.0
2023-10-02,Cà phê,Gia Lai,67.0,318913.0,21367171.0
2023-09-12,Thổ cẩm,Đắk Lắk,27.0,169624.0,4579848.0
2023-11-24,Muối,Kon Tum,82.0,28789.0,2360698.0
2023-02-13,Rượu cần,Gia Lai,76.0,285331.0,21685156.0
2024-04-09,Muối,Đắk Lắk,29.0,209944.0,173605750.9031601
28/06/2023,Mật ong rừng,Bình Định,49.0,186478.0,9137422.0
2023-07-21,Gùi mây,Bình Định,28.0,261748.0,7328944.0
2024-06-24,Muối,Đắk Lắk,56.0,42467.0,2378152.0
2024-07-23,Thổ cẩm,Phú Yên,43.0,62245.0,2676535.0
2024-09-29,Mật ong rừng,Bình Định,26.0,99607.0,2589782.0
2024-11-03,Cà phê,Phú Yên,32.0,55378.0,1772096.0
2023-07-27,Đường,Bình Định,34.0,214571.0,7295414.0
2024-03-14,Gùi mây,Đắk Lắk,2.0,259243.0,518486.0
2024-08-12,Gùi mây,Phú Yên,33.0,195864.0,
13/09/2023,Mật ong rừng,Gia Lai,61.0,234894.0,404136574.84620976
2023-12-18,Thổ cẩm,Kon Tum,58.0,88477.0,5131666.0
2024-05-24,Rượu cần,Phú Yên,68.0,347896.0,23656928.0
2023-05-04,Rượu cần,Bình Định,72.0,216943.0,15619896.0
2023-08-07,Cà phê,Đắk Lắk,66.0,62720.0,4139520.0
 18/08/2023 ,Đường,Phú Yên,55.0,85753.0,4716415.0
2023-05-07,Rượu cần,Gia Lai,68.0,44335.0,3014780.0
2024-07-20,Muối,Kon Tum,57.0,184044.0,10490508.0
2023-12-14,Mật ong rừng,Kon Tum,34.0,46305.0,1574370.0
2024-09-16,Đường,Kon Tum,50.0,190675.0,9533750.0
2023-11-28,Thổ cẩm,Bình Định,7.0,263700.0,1845900.0
2023-01-23,Gạo,Gia Lai,33.0,207320.0,6841560.0
2023-11-09,Gùi mây,Đắk Lắk,,85276.0,3922696.0
2024-03-31,Gùi mây,Phú Yên,49.0,27330.0,1339170.0
2023-05-21,Gạo,Phú Yên,35.0,117732.0,4120620.0
2023-09-23,Mật ong rừng,Đắk Lắk,57.0,221031.0,12598767.0
2024-11-11,Gạo,Đắk Lắk,51.0,82068.0,4185468.0
2023-07-22,Gạo,Bình Định,70.0,149080.0,10435600.0
2023-03-08,Thổ cẩm,Bình Định,73.0,191683.0,13992859.0
 20/01/2024 ,Thổ cẩm,Đắk Lắk,56.0,87710.0,4911760.0
2023-10-05,Gùi mây,Bình Định,,319362.0,29061942.0
2024-08-29,Gạo,Bình Định,46.0,153917.0,7080182.0
2024-03-31,Mật ong rừng,Kon Tum,39.0,300063.0,11702457.0
2024-12-28,Gạo,Bình Định,46.0,252912.0,11633952.0
2024-08-05,Muối,Gia Lai,39.0,32592.0,1271088.0
2024-07-08,Muối,Phú Yên,66.0,75936.0,5011776.0
2023-10-15,Thổ cẩm,Đắk Lắk,21.0,205147.0,4308087.0
2024-08-05,Gùi mây,Đắk Lắk,65.0,310065.0,20154225.0
2024-07-10,Đường,Bình Định,47.0,76932.0,3615804.0
2024-02-24,Rượu cần,Phú Yên,46.0,159776.0,7349696.0
2024-02-29,Rượu cần,Kon Tum,50.0,245488.0,12274400.0
2023-12-03,Thổ cẩm,Phú Yên,50.0,268150.0,13407500.0
2023-11-15,Cà phê,Bình Định,82.0,238344.0,19544208.0
2023-03-18,Rượu cần,Kon Tum,69.0,129633.0,8944677.0
2023-01-03,Thổ cẩm,Kon Tum,77.0,303626.0,23379202.0
2024-12-04,Cà phê,Kon Tum,54.0,296604.0,16016616.0
2023-07-24,Gùi mây,Đắk Lắk,16.0,158152.0,2530432.0
2023-08-07,Cà phê,Đắk Lắk,66.0,62720.0,4139520.0
2023-10-04,Cà phê,Phú Yên,19.0,337897.0,6420043.0
2024-04-23,Cà phê,Gia Lai,13.0,266698.0,3467074.0
2023-09-23,Mật ong rừng,Kon Tum,,39007.0,2730490.0
2023-07-25,Thổ cẩm,Gia Lai,57.0,178530.0,10176210.0
2024-01-29,Đường,Phú Yên,59.0,274070.0,16170130.0
2024-02-01,Muối,Kon Tum,40.0,49153.0,1966120.0
2023-11-18,Mật ong rừng,Đắk Lắk,25.0,224526.0,5613150.0
2024-10-23,Thổ cẩm,Phú Yên,82.0,339157.0,27810874.0
2023-06-23,Mật ong rừng,Đắk Lắk,56.0,52264.0,2926784.0
2023-11-27,Rượu cần,Đắk Lắk,24.0,16669.0,400056.0
2023-04-21,Muối,Gia Lai,14.0,204439.0,2862146.0
2024-11-17,Gạo,Đắk Lắk,34.0,165648.0,5632032.0
2024-01-16,Thổ cẩm,Bình Định,67.0,304272.0,
2024-04-11,Muối,Bình Định,26.0,258089.0,6710314.0
2023-01-08,Thổ cẩm,Phú Yên,59.0,179201.0,10572859.0
2024-10-11,Mật ong rừng,Kon Tum,48.0,198355.0,9521040.0
2023-11-30,Cà phê,Bình Định,53.0,73685.0,3905305.0
2023-04-06,Cà phê,Bình Định,78.0,17022.0,1327716.0
2023-08-26,Rượu cần,Đắk Lắk,62.0,304755.0,18894810.0
2024-11-05,Rượu cần,Phú Yên,56.0,41475.0,2322600.0
2023-10-07,Gùi mây,Bình Định,45.0,333839.0,15022755.0
2023-01-25,Mật ong rừng,Đắk Lắk,42.0,69534.0,2920428.0
2023-04-28,Muối,Phú Yên,69.0,341828.0,23586132.0
2023-06-01,Đường,Kon Tum,93.0,184845.0,17190585.0
2023-06-19,Rượu cần,Kon Tum,22.0,322886.0,7103492.0
2024-06-11,Muối,Đắk Lắk,63.0,38238.0,2408994.0
2023-01-15,Thổ cẩm,Kon Tum,78.0,98983.0,7720674.0
2023-04-14,Gùi mây,Kon Tum,1.0,75150.0,75150.0
2023-09-05,Gùi mây,Bình Định,53.0,15896.0,842488.0
2024-06-23,Cà phê,Gia Lai,83.0,223159.0,18522197.0
2023-03-08,Đường,Phú Yên,32.0,36561.0,1169952.0
2024-09-15,Gạo,Đắk Lắk,87.0,143842.0,12514254.0
2023-01-13,Thổ cẩm,Phú Yên,50.0,54455.0,2722750.0
2024-02-08,Đường,Phú Yên,13.0,57443.0,746759.0
2024-03-08,Gùi mây,Đắk Lắk,64.0,294391.0,18841024.0
2024-05-07,Mật ong rừng,Đắk Lắk,47.0,338284.0,15899348.0
2023-11-19,Gạo,Bình Định,63.0,266052.0,16761276.0
2023-07-28,Đường,Bình Định,36.0,165961.0,5974596.0
2024-04-16,Rượu cần,Kon Tum,80.0,155178.0,12414240.0
2023-08-28,Đường,Gia Lai,37.0,165127.0,6109699.0
2023-03-18,Muối,Gia Lai,82.0,170818.0,14007076.0
2024-12-03,Cà phê,Đắk Lắk,68.0,148987.0,10131116.0
2024-10-07,Cà phê,Bình Định,59.0,338158.0,19951322.0
2023-06-01,Mật ong rừng,Kon Tum,70.0,179694.0,12578580.0
2023-01-17,Muối,Bình Định,70.0,217174.0,15202180.0
2023-05-14,Gạo,Bình Định,28.0,102633.0,2873724.0
2023-05-01,Muối,Kon Tum,64.0,149663.0,9578432.0
2023-12-12,Gạo,Kon Tum,72.0,272486.0,19618992.0
2024-01-08,Gạo,Gia Lai,23.0,217798.0,5009354.0
2024-10-17,Gạo,Phú Yên,,296225.0,7701850.0
2023-10-01,Muối,Gia Lai,76.0,57562.0,4374712.0
2023-07-28,Thổ cẩm,Kon Tum,67.0,75766.0,5076322.0
2024-02-19,Rượu cần,Gia Lai,7.0,73463.0,514241.0
2023-07-08,Cà phê,Phú Yên,50.0,273338.0,13666900.0
2023-05-24,Thổ cẩm,Bình Định,19.0,314306.0,5971814.0
2023-03-12,Thổ cẩm,Gia Lai,58.0,328540.0,19055320.0
2024-06-06,Muối,Kon Tum,28.0,15534.0,434952.0
2024-01-03,Đường,Gia Lai,29.0,91356.0,2649324.0
2023-07-18,Gạo,Đắk Lắk,50.0,213505.0,10675250.0
2023-04-22,Cà phê,Kon Tum,54.0,322312.0,17404848.0
2023-12-25,Mật ong rừng,Bình Định,-48.0,181362.0,8705376.0
2023-09-11,Muối,Kon Tum,29.0,114704.0,3326416.0
2024-03-13,Đường,Phú Yên,44.0,22637.0,996028.0
