id,mon_hoc,diem
72,Toán,5.0
123,Ngữ văn,8.4
70,Vật lý,7.8
107,Tiếng Anh,5.5
13,Toán,4.5
128,Tiếng Anh,8.7
137,Vật lý,7.7
103,Vật lý,5.0
64,Vật lý,6.4
56,Tiếng Anh,4.1
25,Tiếng Anh,7.1
57,Tiếng Anh,7.3
104,Tiếng Anh,8.2
68,Tiếng Anh,7.3
84,Toán,9.4
90,Vật lý,4.9
1,Vật lý,
90,Vật lý,4.9
70,Toán,7.5
126,Tiếng Anh,6.8
118,Ngữ văn,5.0
15,Ngữ văn,6.8
44,Tiếng Anh,7.7
89,Tiếng Anh,5.2
53,Vật lý,8.0
81,Vật lý,9.2
134,Vật lý,5.5
24,Tiếng Anh,6.9
90,Ngữ văn,7.7
116,Ngu Van,-1.0
87,Toán,6.9
28,Tiếng Anh,7.2
1,Toán,
68,Vật lý,5.7
49,Tiếng Anh,4.6
10,Tiếng Anh,5.5
9007,Toán,8.2
35,Vật lý,4.4
93,Toán,6.8
9008,Ngữ văn,5.9
106,Tiếng Anh,7.4
48,Ngữ văn,6.0
33,Vật lý,8.9
27,Vật lý,7.1
90,Tiếng Anh,3.9
111,toan,8.6
93,Vật lý,4.4
48,Toán,6.3
62,Toán,6.3
54,Ngữ văn,7.2
9006,Tiếng Anh,5.7
132,Tiếng Anh,6.6
105,Tiếng Anh,7.3
60,Tiếng Anh,6.8
33,Ngữ văn,
41,Tiếng Anh,-1.0
36,Toán,6.1
130,Vật lý,2.6
36,Ngữ văn,7.4
114,tiếng anh ,
58,Tiếng Anh,7.2
30,Ngữ văn,7.3
139,Tiếng Anh,7.4
38,Vật lý,5.8
134,Toán,6.2
52,Toán,6.8
94,Vật lý,6.4
32,Ngữ văn,7.2
82,Toán,9.8
119,Tiếng Anh,7.6
99,Vật lý,4.0
17,Toán,7.1
122,Ngữ văn,7.5
16,Vật lý,6.5
138,Vật lý,9.1
14,Vật lý,7.5
107,Vật lý,7.9
61,Ngữ văn,5.4
101,Vật lý,7.7
92,Vật lý,8.8
63,Vật lý,10.0
26,Toán,7.6
84,Tiếng Anh,
117,Ngữ văn,5.0
25,Toán,5.1
79,Vật lý,
95,Vật lý,7.6
57,Ngữ văn,6.4
80,Tiếng Anh,4.7
107,Ngữ văn,9.2
51,Ngữ văn,7.4
8,Tiếng Anh,8.7
62,Vật lý,7.3
9011,Vật lý,8.3
21,Tiếng Anh,6.8
118,Toán,7.1
20,Ngữ văn,5.6
78,Vật lý,7.1
80,Toán,6.7
80,Vật lý,4.6
137,Toán,5.3
133,Vật lý,6.8
26,Tiếng Anh,6.0
140,Tiếng Anh,5.1
127,Vật lý,5.9
49,Vật lý,4.9
85,Vật lý,7.6
31,Tiếng Anh,6.5
90,Toán,7.2
96,Toán,9.2
131,Ngữ văn,7.9
116,Tiếng Anh,6.9
78,Tiếng Anh,6.2
6,Vật lý,7.6
102,Tiếng Anh,7.2
122,Toán,6.7
7,Ngữ văn,6.1
109,Tiếng Anh,7.0
44,Ngữ văn,3.0
96,Tiếng Anh,8.6
140,Toán,9.1
104,Toán,6.9
42,Tiếng Anh,5.7
22,Tiếng Anh,8.8
74,Tiếng Anh,7.6
7,Tiếng Anh,6.9
92,Toán,5.7
52,Vật lý,6.5
76,Tiếng Anh,7.5
125,Tiếng Anh,5.7
134,Ngữ văn,8.4
9005,Tiếng Anh,6.1
71,Toán,3.8
29,Toán,6.7
88,Ngữ văn,4.4
93,Tiếng Anh,6.6
115,Vật lý,6.2
67,Tiếng Anh,7.6
74,Ngữ văn,6.3
9,Ngữ văn,7.9
91,tiếng anh ,8.1
85,Toán,4.4
71,Tiếng Anh,5.4
114,Ngữ văn,8.4
73,Vật lý,8.6
3,Toán,6.4
126,Ngữ văn,99.0
100,Vật lý,5.1
54,Vật lý,6.2
91,Vật lý,
109,Ngữ văn,4.7
13,Vật Lý,
114,Vật lý,4.1
65,Ngữ văn,3.6
13,Ngữ văn,7.0
26,Ngữ văn,6.3
18,Toán,6.6
14,Tiếng Anh,15.0
8,Toán,8.2
75,Vật lý,9.6
63,Ngữ văn,6.5
110,Ngữ văn,7.7
12,Tiếng Anh,4.0
21,Ngữ văn,5.7
101,Tiếng Anh,8.2
119,Vật lý,6.5
